id,text,name,scale,zipcodes,code
109717-causses-du-quercy-parc-naturel-regional,CAUSSES du QUERCY (Parc naturel régional),CAUSSES du QUERCY (Parc naturel régional),Ad-hoc,,CAUSSES PNR
109672-cc-sauer-pechelbronn-epci-cc-du-pays-de-wissembourg,CC Sauer-Pechelbronn (EPCI) + CC du Pays de Wissembourg,CC Sauer-Pechelbronn (EPCI) + CC du Pays de Wissembourg,Ad-hoc,,Sauer_Wissembour
109685-centre-et-sud-yvelines,Centre et sud Yvelines,Centre et sud Yvelines,Ad-hoc,,CentreYv
109686-centre-vosges,Centre Vosges,Centre Vosges,Ad-hoc,,CentreV
109019-champagne-ardenne,Champagne-Ardenne,Champagne-Ardenne,Ad-hoc,,CHAR
109697-charente-16-charente-maritime-17-correze-19-creuse-23-deux-sevres-79-vienne-86-haute-vienne-87,"Charente (16), Charente-Maritime (17), Corrèze (19), Creuse (23), Deux-Sèvres (79), Vienne (86), Haute-Vienne (87)","Charente (16), Charente-Maritime (17), Corrèze (19), Creuse (23), Deux-Sèvres (79), Vienne (86), Haute-Vienne (87)",Ad-hoc,,Centre-Ouest
109675-charente-maritime-deux-sevres,Charente-Maritime + Deux-Sèvres,Charente-Maritime + Deux-Sèvres,Ad-hoc,,Charente_2Sèvres
109718-chartreuse-parc-naturel-regional,CHARTREUSE (Parc naturel régional),CHARTREUSE (Parc naturel régional),Ad-hoc,,CHARTREUSE PNR
109701-comminges-pyrenees-petr,Comminges Pyrénées (PETR),Comminges Pyrénées (PETR),Ad-hoc,,Comminges Pyréné
109944-communaute-dagglomeration-bergeracoise,COMMUNAUTE D'AGGLOMERATION BERGERACOISE,COMMUNAUTE D'AGGLOMERATION BERGERACOISE,Ad-hoc,,PETR-NA17
109756-communaute-dagglomeration-du-pays-ajaccien-et-communaute-de-communes-celavu-prunelli,Communauté d'agglomération du pays ajaccien et Communauté de communes Celavu-Prunelli,Communauté d'agglomération du pays ajaccien et Communauté de communes Celavu-Prunelli,Ad-hoc,,CAjaccio+CCelavu
109776-communaute-de-communes-picardie-des-chateaux-et-communaute-dagglomeration-chauny-tergnier-la-fere,Communauté de Communes Picardie des Châteaux et Communauté d'Agglomération Chauny - Tergnier - La Fère,Communauté de Communes Picardie des Châteaux et Communauté d'Agglomération Chauny - Tergnier - La Fère,Ad-hoc,,Picardie-Chauny
109774-communaute-de-communes-picardie-des-chateaux-et-communaute-dagglomeration-chauny-tergnier-la-fere,Communauté de Communes Picardie des Châteaux et Communauté d'Agglomération Chauny - Tergnier - La Fère,Communauté de Communes Picardie des Châteaux et Communauté d'Agglomération Chauny - Tergnier - La Fère,Ad-hoc,,Picardie des Cha
109775-communaute-de-communes-picardie-des-chateaux-et-communaute-dagglomeration-chauny-tergnier-la-fere,Communauté de Communes Picardie des Châteaux et Communauté d'Agglomération Chauny - Tergnier - La Fère,Communauté de Communes Picardie des Châteaux et Communauté d'Agglomération Chauny - Tergnier - La Fère,Ad-hoc,,CC
109753-communes-beneficiaires-des-programmes-action-cur-de-ville-et-petites-villes-de-demain,Communes bénéficiaires des programmes Action cœur de ville et Petites villes de demain,Communes bénéficiaires des programmes Action cœur de ville et Petites villes de demain,Ad-hoc,,PVD+ACV
109752-communes-beneficiaires-du-programme-petites-villes-de-demain-specifique-pvd,Communes bénéficiaires du programme Petites villes de demain - spécifique PVD,Communes bénéficiaires du programme Petites villes de demain - spécifique PVD,Ad-hoc,,PVD
109792-communes-classees-en-zone-de-revitalisation-rurale,Communes classées en zone de revitalisation rurale,Communes classées en zone de revitalisation rurale,Ad-hoc,,ZRR
